Starting epsilon decay: 0.991818
🔥 New best solution! Steps: 156. Decay decreased to 0.990752
Episode 91 | Reward: 98.5 | Steps: 16 | Epsilon: 0.048 | Result: WIN | Decay: 0.976888 | Time: 0.0001s
Episode 92 | Reward: 98.5 | Steps: 16 | Epsilon: 0.047 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 93 | Reward: 98.5 | Steps: 16 | Epsilon: 0.045 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 94 | Reward: 98.5 | Steps: 16 | Epsilon: 0.044 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 95 | Reward: 98.5 | Steps: 16 | Epsilon: 0.043 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 96 | Reward: 98.5 | Steps: 16 | Epsilon: 0.042 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 97 | Reward: 98.5 | Steps: 16 | Epsilon: 0.041 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 98 | Reward: 98.1 | Steps: 20 | Epsilon: 0.040 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 99 | Reward: 98.5 | Steps: 16 | Epsilon: 0.040 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 100 | Reward: 98.5 | Steps: 16 | Epsilon: 0.039 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 101 | Reward: 98.5 | Steps: 16 | Epsilon: 0.038 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 102 | Reward: 98.5 | Steps: 16 | Epsilon: 0.037 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 103 | Reward: 98.5 | Steps: 16 | Epsilon: 0.036 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 104 | Reward: 98.5 | Steps: 16 | Epsilon: 0.035 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 105 | Reward: 98.5 | Steps: 16 | Epsilon: 0.034 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 106 | Reward: 98.3 | Steps: 18 | Epsilon: 0.034 | Result: WIN | Decay: 0.976888 | Time: 0.0001s
Episode 107 | Reward: 98.5 | Steps: 16 | Epsilon: 0.033 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 108 | Reward: 98.5 | Steps: 16 | Epsilon: 0.032 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 109 | Reward: 98.3 | Steps: 18 | Epsilon: 0.031 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 110 | Reward: 97.5 | Steps: 17 | Epsilon: 0.031 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 111 | Reward: 98.5 | Steps: 16 | Epsilon: 0.030 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 112 | Reward: 97.5 | Steps: 17 | Epsilon: 0.029 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 113 | Reward: 98.5 | Steps: 16 | Epsilon: 0.028 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 114 | Reward: 98.3 | Steps: 18 | Epsilon: 0.028 | Result: WIN | Decay: 0.976888 | Time: 0.0001s
