Starting epsilon decay: 0.997755
🔥 New best solution! Steps: 3113. Decay decreased to 0.997461
Episode 76 | Reward: -57.799999999997965 | Steps: 850 | Epsilon: 0.221 | Result: WIN | Decay: 0.994517 | Time: 0.0021s
Episode 77 | Reward: 34.799999999999656 | Steps: 356 | Epsilon: 0.220 | Result: WIN | Decay: 0.994517 | Time: 0.0009s
Episode 78 | Reward: 16.0000000000002 | Steps: 409 | Epsilon: 0.219 | Result: WIN | Decay: 0.994517 | Time: 0.0012s
Episode 79 | Reward: -47.399999999998016 | Steps: 800 | Epsilon: 0.218 | Result: WIN | Decay: 0.994517 | Time: 0.0021s
Episode 80 | Reward: 50.79999999999979 | Steps: 259 | Epsilon: 0.217 | Result: WIN | Decay: 0.994517 | Time: 0.0006s
Episode 81 | Reward: 40.799999999999756 | Steps: 278 | Epsilon: 0.215 | Result: WIN | Decay: 0.994517 | Time: 0.0007s
Episode 82 | Reward: 7.6000000000004775 | Steps: 475 | Epsilon: 0.214 | Result: WIN | Decay: 0.994517 | Time: 0.0011s
Episode 83 | Reward: -33.39999999999844 | Steps: 678 | Epsilon: 0.213 | Result: WIN | Decay: 0.994517 | Time: 0.0017s
Episode 84 | Reward: 66.59999999999988 | Steps: 182 | Epsilon: 0.212 | Result: WIN | Decay: 0.994517 | Time: 0.0005s
Episode 85 | Reward: -36.79999999999856 | Steps: 685 | Epsilon: 0.211 | Result: WIN | Decay: 0.994517 | Time: 0.0017s
Episode 86 | Reward: 50.3999999999998 | Steps: 254 | Epsilon: 0.210 | Result: WIN | Decay: 0.994517 | Time: 0.0006s
🔥 New best solution! Steps: 171. Decay decreased to 0.994223
Episode 87 | Reward: 72.19999999999993 | Steps: 171 | Epsilon: 0.208 | Result: WIN | Decay: 0.994223 | Time: 0.0004s
Episode 88 | Reward: 59.59999999999981 | Steps: 261 | Epsilon: 0.207 | Result: WIN | Decay: 0.994223 | Time: 0.0006s
Episode 89 | Reward: -52.19999999999786 | Steps: 830 | Epsilon: 0.206 | Result: WIN | Decay: 0.994223 | Time: 0.0020s
Episode 90 | Reward: 55.79999999999974 | Steps: 254 | Epsilon: 0.205 | Result: WIN | Decay: 0.994223 | Time: 0.0006s
Episode 91 | Reward: 67.19999999999993 | Steps: 212 | Epsilon: 0.204 | Result: WIN | Decay: 0.994223 | Time: 0.0005s
Episode 92 | Reward: -94.39999999999688 | Steps: 1009 | Epsilon: 0.202 | Result: WIN | Decay: 0.994223 | Time: 0.0028s
Episode 93 | Reward: 33.79999999999973 | Steps: 357 | Epsilon: 0.201 | Result: WIN | Decay: 0.994223 | Time: 0.0009s
Episode 94 | Reward: 76.99999999999993 | Steps: 177 | Epsilon: 0.200 | Result: WIN | Decay: 0.994223 | Time: 0.0004s
Episode 95 | Reward: 10.800000000000523 | Steps: 488 | Epsilon: 0.199 | Result: WIN | Decay: 0.994223 | Time: 0.0012s
Episode 96 | Reward: 42.99999999999971 | Steps: 337 | Epsilon: 0.198 | Result: WIN | Decay: 0.994223 | Time: 0.0009s
🔥 New best solution! Steps: 149. Decay decreased to 0.993929
Episode 97 | Reward: 74.39999999999992 | Steps: 149 | Epsilon: 0.197 | Result: WIN | Decay: 0.993929 | Time: 0.0004s
Episode 98 | Reward: -11.999999999998977 | Steps: 608 | Epsilon: 0.195 | Result: WIN | Decay: 0.993929 | Time: 0.0016s
Episode 99 | Reward: 72.59999999999994 | Steps: 149 | Epsilon: 0.194 | Result: WIN | Decay: 0.993929 | Time: 0.0004s
Episode 100 | Reward: 43.799999999999756 | Steps: 302 | Epsilon: 0.193 | Result: WIN | Decay: 0.993929 | Time: 0.0007s
Episode 101 | Reward: -6.999999999998991 | Steps: 684 | Epsilon: 0.192 | Result: WIN | Decay: 0.993929 | Time: 0.0019s
Episode 102 | Reward: 66.79999999999988 | Steps: 189 | Epsilon: 0.191 | Result: WIN | Decay: 0.993929 | Time: 0.0005s
Episode 103 | Reward: 59.5999999999998 | Steps: 261 | Epsilon: 0.190 | Result: WIN | Decay: 0.993929 | Time: 0.0007s
Episode 104 | Reward: 61.39999999999986 | Steps: 207 | Epsilon: 0.188 | Result: WIN | Decay: 0.993929 | Time: 0.0005s
Episode 105 | Reward: 29.39999999999978 | Steps: 392 | Epsilon: 0.187 | Result: WIN | Decay: 0.993929 | Time: 0.0011s
