Episode 110 | Reward: 98.50 | Steps: 16 | Epsilon: 0.17 | Result: WIN | Time: 0.00004s
Episode 111 | Reward: 98.50 | Steps: 16 | Epsilon: 0.17 | Result: WIN | Time: 0.00003s
Episode 112 | Reward: 97.80 | Steps: 20 | Epsilon: 0.17 | Result: WIN | Time: 0.00004s
Episode 113 | Reward: 93.40 | Steps: 26 | Epsilon: 0.17 | Result: WIN | Time: 0.00005s
Episode 114 | Reward: 98.50 | Steps: 16 | Epsilon: 0.17 | Result: WIN | Time: 0.00004s
Episode 115 | Reward: 97.10 | Steps: 24 | Epsilon: 0.17 | Result: WIN | Time: 0.00005s
Episode 116 | Reward: 97.70 | Steps: 20 | Epsilon: 0.17 | Result: WIN | Time: 0.00004s
Episode 117 | Reward: 96.80 | Steps: 21 | Epsilon: 0.17 | Result: WIN | Time: 0.00004s
Episode 118 | Reward: 95.20 | Steps: 21 | Epsilon: 0.17 | Result: WIN | Time: 0.00004s
Episode 119 | Reward: 98.20 | Steps: 18 | Epsilon: 0.17 | Result: WIN | Time: 0.00004s
Episode 120 | Reward: 95.40 | Steps: 24 | Epsilon: 0.17 | Result: WIN | Time: 0.00005s
Episode 121 | Reward: 96.50 | Steps: 18 | Epsilon: 0.16 | Result: WIN | Time: 0.00004s
Episode 122 | Reward: 94.90 | Steps: 23 | Epsilon: 0.16 | Result: WIN | Time: 0.00005s
Episode 123 | Reward: 96.50 | Steps: 18 | Epsilon: 0.16 | Result: WIN | Time: 0.00004s
Episode 124 | Reward: 98.10 | Steps: 18 | Epsilon: 0.16 | Result: WIN | Time: 0.00004s
Episode 125 | Reward: 98.50 | Steps: 16 | Epsilon: 0.16 | Result: WIN | Time: 0.00004s
Episode 126 | Reward: 98.20 | Steps: 18 | Epsilon: 0.16 | Result: WIN | Time: 0.00004s
Episode 127 | Reward: 95.50 | Steps: 19 | Epsilon: 0.16 | Result: WIN | Time: 0.00004s
Episode 128 | Reward: 98.10 | Steps: 18 | Epsilon: 0.16 | Result: WIN | Time: 0.00004s
Episode 129 | Reward: 93.20 | Steps: 23 | Epsilon: 0.16 | Result: WIN | Time: 0.00005s
Episode 130 | Reward: 97.10 | Steps: 19 | Epsilon: 0.16 | Result: WIN | Time: 0.00004s
Episode 131 | Reward: 98.10 | Steps: 18 | Epsilon: 0.16 | Result: WIN | Time: 0.00004s
Episode 132 | Reward: 96.50 | Steps: 18 | Epsilon: 0.16 | Result: WIN | Time: 0.00004s
Episode 133 | Reward: 98.20 | Steps: 18 | Epsilon: 0.15 | Result: WIN | Time: 0.00004s
Episode 134 | Reward: 95.50 | Steps: 19 | Epsilon: 0.15 | Result: WIN | Time: 0.00004s
Episode 135 | Reward: 98.50 | Steps: 16 | Epsilon: 0.15 | Result: WIN | Time: 0.00003s
Episode 136 | Reward: 95.80 | Steps: 22 | Epsilon: 0.15 | Result: WIN | Time: 0.00005s
Episode 137 | Reward: 96.10 | Steps: 20 | Epsilon: 0.15 | Result: WIN | Time: 0.00004s
Episode 138 | Reward: 97.50 | Steps: 17 | Epsilon: 0.15 | Result: WIN | Time: 0.00004s
Episode 139 | Reward: 97.50 | Steps: 17 | Epsilon: 0.15 | Result: WIN | Time: 0.00004s
Episode 140 | Reward: 98.50 | Steps: 16 | Epsilon: 0.15 | Result: WIN | Time: 0.00003s
Episode 141 | Reward: 97.20 | Steps: 19 | Epsilon: 0.15 | Result: WIN | Time: 0.00004s
Episode 142 | Reward: 98.10 | Steps: 18 | Epsilon: 0.15 | Result: WIN | Time: 0.00004s
Episode 143 | Reward: 98.10 | Steps: 18 | Epsilon: 0.15 | Result: WIN | Time: 0.00004s
Episode 144 | Reward: 97.20 | Steps: 19 | Epsilon: 0.15 | Result: WIN | Time: 0.00004s
Episode 145 | Reward: 98.50 | Steps: 16 | Epsilon: 0.15 | Result: WIN | Time: 0.00003s
Episode 146 | Reward: 98.50 | Steps: 16 | Epsilon: 0.15 | Result: WIN | Time: 0.00003s
Episode 147 | Reward: 96.50 | Steps: 18 | Epsilon: 0.14 | Result: WIN | Time: 0.00004s
Episode 148 | Reward: 97.10 | Steps: 19 | Epsilon: 0.14 | Result: WIN | Time: 0.00004s
Episode 149 | Reward: 98.50 | Steps: 16 | Epsilon: 0.14 | Result: WIN | Time: 0.00004s
Episode 150 | Reward: 95.50 | Steps: 19 | Epsilon: 0.14 | Result: WIN | Time: 0.00004s
Episode 151 | Reward: 97.50 | Steps: 17 | Epsilon: 0.14 | Result: WIN | Time: 0.00004s
Episode 152 | Reward: 97.10 | Steps: 19 | Epsilon: 0.14 | Result: WIN | Time: 0.00004s
Episode 153 | Reward: 97.10 | Steps: 19 | Epsilon: 0.14 | Result: WIN | Time: 0.00004s
Episode 154 | Reward: 96.50 | Steps: 18 | Epsilon: 0.14 | Result: WIN | Time: 0.00004s
Episode 155 | Reward: 97.10 | Steps: 19 | Epsilon: 0.14 | Result: WIN | Time: 0.00004s
Episode 156 | Reward: 95.50 | Steps: 19 | Epsilon: 0.14 | Result: WIN | Time: 0.00004s
Episode 157 | Reward: 98.50 | Steps: 16 | Epsilon: 0.14 | Result: WIN | Time: 0.00003s
Episode 158 | Reward: 95.80 | Steps: 22 | Epsilon: 0.14 | Result: WIN | Time: 0.00005s
