Episode 95 | Reward: 99.60 | Steps: 5 | Epsilon: 0.06 | Result: WIN | Time: 0.00001s
Episode 96 | Reward: 99.60 | Steps: 5 | Epsilon: 0.06 | Result: WIN | Time: 0.00001s
Episode 97 | Reward: 99.60 | Steps: 5 | Epsilon: 0.06 | Result: WIN | Time: 0.00001s
Episode 98 | Reward: 99.60 | Steps: 5 | Epsilon: 0.06 | Result: WIN | Time: 0.00001s
Episode 99 | Reward: 99.60 | Steps: 5 | Epsilon: 0.06 | Result: WIN | Time: 0.00001s
Episode 100 | Reward: 99.60 | Steps: 5 | Epsilon: 0.06 | Result: WIN | Time: 0.00001s
Episode 101 | Reward: 99.60 | Steps: 5 | Epsilon: 0.06 | Result: WIN | Time: 0.00001s
Episode 102 | Reward: 99.60 | Steps: 5 | Epsilon: 0.06 | Result: WIN | Time: 0.00001s
Episode 103 | Reward: 99.60 | Steps: 5 | Epsilon: 0.06 | Result: WIN | Time: 0.00001s
Episode 104 | Reward: 99.60 | Steps: 5 | Epsilon: 0.06 | Result: WIN | Time: 0.00001s
Episode 105 | Reward: 98.60 | Steps: 6 | Epsilon: 0.06 | Result: WIN | Time: 0.00001s
Episode 106 | Reward: 99.60 | Steps: 5 | Epsilon: 0.06 | Result: WIN | Time: 0.00001s
Episode 107 | Reward: 99.20 | Steps: 7 | Epsilon: 0.06 | Result: WIN | Time: 0.00002s
Episode 108 | Reward: 99.60 | Steps: 5 | Epsilon: 0.06 | Result: WIN | Time: 0.00001s
Episode 109 | Reward: 98.60 | Steps: 6 | Epsilon: 0.06 | Result: WIN | Time: 0.00001s
Episode 110 | Reward: 99.60 | Steps: 5 | Epsilon: 0.06 | Result: WIN | Time: 0.00001s
Episode 111 | Reward: 99.60 | Steps: 5 | Epsilon: 0.06 | Result: WIN | Time: 0.00001s
Episode 112 | Reward: 99.60 | Steps: 5 | Epsilon: 0.06 | Result: WIN | Time: 0.00001s
Episode 113 | Reward: 99.60 | Steps: 5 | Epsilon: 0.06 | Result: WIN | Time: 0.00001s
Episode 114 | Reward: 99.60 | Steps: 5 | Epsilon: 0.06 | Result: WIN | Time: 0.00001s
Episode 115 | Reward: 99.60 | Steps: 5 | Epsilon: 0.06 | Result: WIN | Time: 0.00001s
Episode 116 | Reward: 99.60 | Steps: 5 | Epsilon: 0.06 | Result: WIN | Time: 0.00001s
Episode 117 | Reward: 98.60 | Steps: 6 | Epsilon: 0.06 | Result: WIN | Time: 0.00001s
