Starting epsilon decay: 0.997755
🔥 New best solution! Steps: 1787. Decay decreased to 0.997461
Episode 77 | Reward: 20.100000000000023 | Steps: 341 | Epsilon: 0.220 | Result: WIN | Decay: 0.995106 | Time: 0.0008s
Episode 78 | Reward: 74.89999999999996 | Steps: 153 | Epsilon: 0.219 | Result: WIN | Decay: 0.995106 | Time: 0.0004s
Episode 79 | Reward: 37.899999999999764 | Steps: 280 | Epsilon: 0.218 | Result: WIN | Decay: 0.995106 | Time: 0.0007s
Episode 80 | Reward: 61.29999999999984 | Steps: 217 | Epsilon: 0.217 | Result: WIN | Decay: 0.995106 | Time: 0.0005s
🔥 New best solution! Steps: 75. Decay decreased to 0.994812
Episode 81 | Reward: 86.30000000000001 | Steps: 75 | Epsilon: 0.216 | Result: WIN | Decay: 0.994812 | Time: 0.0002s
Episode 82 | Reward: 51.499999999999794 | Steps: 261 | Epsilon: 0.215 | Result: WIN | Decay: 0.994812 | Time: 0.0006s
Episode 83 | Reward: 80.89999999999999 | Steps: 111 | Epsilon: 0.214 | Result: WIN | Decay: 0.994812 | Time: 0.0003s
Episode 84 | Reward: 39.49999999999973 | Steps: 336 | Epsilon: 0.213 | Result: WIN | Decay: 0.994812 | Time: 0.0009s
Episode 85 | Reward: 71.09999999999994 | Steps: 128 | Epsilon: 0.211 | Result: WIN | Decay: 0.994812 | Time: 0.0003s
Episode 86 | Reward: 58.899999999999835 | Steps: 205 | Epsilon: 0.210 | Result: WIN | Decay: 0.994812 | Time: 0.0005s
Episode 87 | Reward: 74.09999999999994 | Steps: 125 | Epsilon: 0.209 | Result: WIN | Decay: 0.994812 | Time: 0.0003s
Episode 88 | Reward: 72.69999999999993 | Steps: 139 | Epsilon: 0.208 | Result: WIN | Decay: 0.994812 | Time: 0.0003s
Episode 89 | Reward: 65.09999999999991 | Steps: 161 | Epsilon: 0.207 | Result: WIN | Decay: 0.994812 | Time: 0.0004s
Episode 90 | Reward: 79.9 | Steps: 121 | Epsilon: 0.206 | Result: WIN | Decay: 0.994812 | Time: 0.0004s
Episode 91 | Reward: 64.49999999999993 | Steps: 194 | Epsilon: 0.205 | Result: WIN | Decay: 0.994812 | Time: 0.0006s
Episode 92 | Reward: 34.29999999999973 | Steps: 343 | Epsilon: 0.204 | Result: WIN | Decay: 0.994812 | Time: 0.0009s
🔥 New best solution! Steps: 69. Decay decreased to 0.994517
Episode 93 | Reward: 88.70000000000002 | Steps: 69 | Epsilon: 0.203 | Result: WIN | Decay: 0.994517 | Time: 0.0002s
Episode 94 | Reward: 66.89999999999992 | Steps: 197 | Epsilon: 0.202 | Result: WIN | Decay: 0.994517 | Time: 0.0005s
Episode 95 | Reward: 61.49999999999983 | Steps: 224 | Epsilon: 0.201 | Result: WIN | Decay: 0.994517 | Time: 0.0006s
Episode 96 | Reward: 72.09999999999995 | Steps: 127 | Epsilon: 0.199 | Result: WIN | Decay: 0.994517 | Time: 0.0003s
Episode 97 | Reward: 78.69999999999997 | Steps: 133 | Epsilon: 0.198 | Result: WIN | Decay: 0.994517 | Time: 0.0003s
Episode 98 | Reward: 31.499999999999886 | Steps: 371 | Epsilon: 0.197 | Result: WIN | Decay: 0.994517 | Time: 0.0009s
Episode 99 | Reward: 85.10000000000002 | Steps: 69 | Epsilon: 0.196 | Result: WIN | Decay: 0.994517 | Time: 0.0002s
Episode 100 | Reward: 56.09999999999981 | Steps: 260 | Epsilon: 0.195 | Result: WIN | Decay: 0.994517 | Time: 0.0006s
Episode 101 | Reward: 86.50000000000001 | Steps: 91 | Epsilon: 0.194 | Result: WIN | Decay: 0.994517 | Time: 0.0002s
Episode 102 | Reward: 77.69999999999999 | Steps: 116 | Epsilon: 0.193 | Result: WIN | Decay: 0.994517 | Time: 0.0003s
Episode 103 | Reward: 86.10000000000002 | Steps: 86 | Epsilon: 0.192 | Result: WIN | Decay: 0.994517 | Time: 0.0002s
Episode 104 | Reward: 59.29999999999988 | Steps: 192 | Epsilon: 0.191 | Result: WIN | Decay: 0.994517 | Time: 0.0005s
Episode 105 | Reward: 84.70000000000002 | Steps: 82 | Epsilon: 0.190 | Result: WIN | Decay: 0.994517 | Time: 0.0002s
Episode 106 | Reward: 83.10000000000002 | Steps: 98 | Epsilon: 0.189 | Result: WIN | Decay: 0.994517 | Time: 0.0002s
Episode 107 | Reward: 69.2999999999999 | Steps: 155 | Epsilon: 0.188 | Result: WIN | Decay: 0.994517 | Time: 0.0004s
Episode 108 | Reward: 54.89999999999981 | Steps: 245 | Epsilon: 0.187 | Result: WIN | Decay: 0.994517 | Time: 0.0006s
Episode 109 | Reward: 78.69999999999999 | Steps: 106 | Epsilon: 0.186 | Result: WIN | Decay: 0.994517 | Time: 0.0004s
Episode 110 | Reward: 84.30000000000001 | Steps: 86 | Epsilon: 0.185 | Result: WIN | Decay: 0.994517 | Time: 0.0002s
Episode 111 | Reward: 70.49999999999989 | Steps: 179 | Epsilon: 0.184 | Result: WIN | Decay: 0.994517 | Time: 0.0006s
Episode 112 | Reward: 46.499999999999744 | Steps: 302 | Epsilon: 0.183 | Result: WIN | Decay: 0.994517 | Time: 0.0008s
🔥 New best solution! Steps: 68. Decay decreased to 0.994223
