Episode 151 | Reward: 56.70 | Steps: 94 | Epsilon: 0.64 | Result: WIN | Time: 0.0003s
Episode 152 | Reward: 77.60 | Steps: 55 | Epsilon: 0.63 | Result: WIN | Time: 0.0002s
Episode 153 | Reward: 70.40 | Steps: 67 | Epsilon: 0.63 | Result: WIN | Time: 0.0002s
Episode 154 | Reward: 66.70 | Steps: 74 | Epsilon: 0.63 | Result: WIN | Time: 0.0002s
Episode 155 | Reward: 66.30 | Steps: 78 | Epsilon: 0.63 | Result: WIN | Time: 0.0002s
Episode 156 | Reward: 72.60 | Steps: 65 | Epsilon: 0.63 | Result: WIN | Time: 0.0002s
Episode 157 | Reward: 55.40 | Steps: 77 | Epsilon: 0.62 | Result: WIN | Time: 0.0002s
Episode 158 | Reward: 74.70 | Steps: 54 | Epsilon: 0.62 | Result: WIN | Time: 0.0002s
Episode 159 | Reward: 75.10 | Steps: 70 | Epsilon: 0.62 | Result: WIN | Time: 0.0002s
Episode 160 | Reward: 68.90 | Steps: 72 | Epsilon: 0.62 | Result: WIN | Time: 0.0002s
Episode 161 | Reward: 87.60 | Steps: 35 | Epsilon: 0.62 | Result: WIN | Time: 0.0001s
Episode 162 | Reward: 85.40 | Steps: 37 | Epsilon: 0.61 | Result: WIN | Time: 0.0001s
Episode 163 | Reward: 68.00 | Steps: 71 | Epsilon: 0.61 | Result: WIN | Time: 0.0002s
Episode 164 | Reward: 67.80 | Steps: 73 | Epsilon: 0.61 | Result: WIN | Time: 0.0002s
Episode 165 | Reward: 75.40 | Steps: 57 | Epsilon: 0.61 | Result: WIN | Time: 0.0002s
Episode 166 | Reward: 72.40 | Steps: 67 | Epsilon: 0.61 | Result: WIN | Time: 0.0002s
Episode 167 | Reward: 80.80 | Steps: 43 | Epsilon: 0.61 | Result: WIN | Time: 0.0001s
Episode 168 | Reward: 81.10 | Steps: 50 | Epsilon: 0.60 | Result: WIN | Time: 0.0002s
Episode 169 | Reward: 77.40 | Steps: 57 | Epsilon: 0.60 | Result: WIN | Time: 0.0002s
Episode 170 | Reward: 71.30 | Steps: 88 | Epsilon: 0.60 | Result: WIN | Time: 0.0003s
Episode 171 | Reward: 82.00 | Steps: 51 | Epsilon: 0.60 | Result: WIN | Time: 0.0001s
Episode 172 | Reward: 77.40 | Steps: 57 | Epsilon: 0.60 | Result: WIN | Time: 0.0002s
Episode 173 | Reward: 68.60 | Steps: 65 | Epsilon: 0.59 | Result: WIN | Time: 0.0002s
Episode 174 | Reward: 87.90 | Steps: 42 | Epsilon: 0.59 | Result: WIN | Time: 0.0001s
Episode 175 | Reward: 83.50 | Steps: 46 | Epsilon: 0.59 | Result: WIN | Time: 0.0001s
Episode 176 | Reward: 87.90 | Steps: 42 | Epsilon: 0.59 | Result: WIN | Time: 0.0001s
Episode 177 | Reward: 75.20 | Steps: 59 | Epsilon: 0.59 | Result: WIN | Time: 0.0002s
Episode 178 | Reward: 84.40 | Steps: 47 | Epsilon: 0.59 | Result: WIN | Time: 0.0001s
Episode 179 | Reward: 79.70 | Steps: 64 | Epsilon: 0.58 | Result: WIN | Time: 0.0002s
Episode 180 | Reward: 83.20 | Steps: 39 | Epsilon: 0.58 | Result: WIN | Time: 0.0001s
Episode 181 | Reward: 80.40 | Steps: 47 | Epsilon: 0.58 | Result: WIN | Time: 0.0002s
Episode 182 | Reward: 81.90 | Steps: 42 | Epsilon: 0.58 | Result: WIN | Time: 0.0001s
Episode 183 | Reward: 93.60 | Steps: 35 | Epsilon: 0.58 | Result: WIN | Time: 0.0001s
Episode 184 | Reward: 78.50 | Steps: 56 | Epsilon: 0.58 | Result: WIN | Time: 0.0002s
Episode 185 | Reward: 80.80 | Steps: 63 | Epsilon: 0.57 | Result: WIN | Time: 0.0002s
