Episode 112 | Reward: 97.80 | Steps: 22 | Epsilon: 0.17 | Result: WIN | Time: 0.00007s
Episode 113 | Reward: 95.70 | Steps: 22 | Epsilon: 0.17 | Result: WIN | Time: 0.00007s
Episode 114 | Reward: 95.70 | Steps: 27 | Epsilon: 0.17 | Result: WIN | Time: 0.00010s
Episode 115 | Reward: 97.70 | Steps: 22 | Epsilon: 0.17 | Result: WIN | Time: 0.00007s
Episode 116 | Reward: 97.30 | Steps: 24 | Epsilon: 0.17 | Result: WIN | Time: 0.00008s
Episode 117 | Reward: 93.00 | Steps: 26 | Epsilon: 0.17 | Result: WIN | Time: 0.00009s
Episode 118 | Reward: 98.10 | Steps: 20 | Epsilon: 0.17 | Result: WIN | Time: 0.00006s
Episode 119 | Reward: 94.10 | Steps: 25 | Epsilon: 0.17 | Result: WIN | Time: 0.00008s
Episode 120 | Reward: 98.10 | Steps: 20 | Epsilon: 0.16 | Result: WIN | Time: 0.00006s
Episode 121 | Reward: 96.90 | Steps: 21 | Epsilon: 0.16 | Result: WIN | Time: 0.00006s
Episode 122 | Reward: 91.70 | Steps: 27 | Epsilon: 0.16 | Result: WIN | Time: 0.00009s
Episode 123 | Reward: 96.60 | Steps: 23 | Epsilon: 0.16 | Result: WIN | Time: 0.00007s
Episode 124 | Reward: 91.80 | Steps: 27 | Epsilon: 0.16 | Result: WIN | Time: 0.00009s
Episode 125 | Reward: 94.10 | Steps: 25 | Epsilon: 0.16 | Result: WIN | Time: 0.00008s
Episode 126 | Reward: 94.10 | Steps: 25 | Epsilon: 0.16 | Result: WIN | Time: 0.00008s
Episode 127 | Reward: 98.10 | Steps: 20 | Epsilon: 0.16 | Result: WIN | Time: 0.00006s
Episode 128 | Reward: 95.40 | Steps: 24 | Epsilon: 0.16 | Result: WIN | Time: 0.00008s
Episode 129 | Reward: 96.90 | Steps: 21 | Epsilon: 0.16 | Result: WIN | Time: 0.00007s
Episode 130 | Reward: 96.90 | Steps: 21 | Epsilon: 0.16 | Result: WIN | Time: 0.00007s
Episode 131 | Reward: 93.30 | Steps: 24 | Epsilon: 0.16 | Result: WIN | Time: 0.00008s
Episode 132 | Reward: 96.50 | Steps: 23 | Epsilon: 0.15 | Result: WIN | Time: 0.00007s
Episode 133 | Reward: 95.70 | Steps: 22 | Epsilon: 0.15 | Result: WIN | Time: 0.00007s
Episode 134 | Reward: 96.90 | Steps: 26 | Epsilon: 0.15 | Result: WIN | Time: 0.00008s
Episode 135 | Reward: 96.60 | Steps: 23 | Epsilon: 0.15 | Result: WIN | Time: 0.00007s
Episode 136 | Reward: 96.50 | Steps: 23 | Epsilon: 0.15 | Result: WIN | Time: 0.00007s
Episode 137 | Reward: 96.60 | Steps: 23 | Epsilon: 0.15 | Result: WIN | Time: 0.00007s
Episode 138 | Reward: 97.20 | Steps: 26 | Epsilon: 0.15 | Result: WIN | Time: 0.00008s
Episode 139 | Reward: 94.10 | Steps: 25 | Epsilon: 0.15 | Result: WIN | Time: 0.00008s
Episode 140 | Reward: 97.40 | Steps: 24 | Epsilon: 0.15 | Result: WIN | Time: 0.00008s
Episode 141 | Reward: 94.50 | Steps: 23 | Epsilon: 0.15 | Result: WIN | Time: 0.00007s
Episode 142 | Reward: 94.10 | Steps: 25 | Epsilon: 0.15 | Result: WIN | Time: 0.00008s
Episode 143 | Reward: 97.80 | Steps: 22 | Epsilon: 0.15 | Result: WIN | Time: 0.00007s
Episode 144 | Reward: 95.70 | Steps: 22 | Epsilon: 0.15 | Result: WIN | Time: 0.00007s
Episode 145 | Reward: 96.90 | Steps: 21 | Epsilon: 0.15 | Result: WIN | Time: 0.00007s
Episode 146 | Reward: 93.40 | Steps: 29 | Epsilon: 0.14 | Result: WIN | Time: 0.00009s
Episode 147 | Reward: 97.30 | Steps: 24 | Epsilon: 0.14 | Result: WIN | Time: 0.00008s
Episode 148 | Reward: 96.90 | Steps: 21 | Epsilon: 0.14 | Result: WIN | Time: 0.00007s
Episode 149 | Reward: 95.30 | Steps: 24 | Epsilon: 0.14 | Result: WIN | Time: 0.00008s
Episode 150 | Reward: 95.30 | Steps: 24 | Epsilon: 0.14 | Result: WIN | Time: 0.00008s
Episode 151 | Reward: 98.10 | Steps: 20 | Epsilon: 0.14 | Result: WIN | Time: 0.00007s
Episode 152 | Reward: 97.70 | Steps: 22 | Epsilon: 0.14 | Result: WIN | Time: 0.00007s
Episode 153 | Reward: 96.90 | Steps: 21 | Epsilon: 0.14 | Result: WIN | Time: 0.00007s
Episode 154 | Reward: 93.30 | Steps: 24 | Epsilon: 0.14 | Result: WIN | Time: 0.00008s
Episode 155 | Reward: 95.30 | Steps: 24 | Epsilon: 0.14 | Result: WIN | Time: 0.00008s
Episode 156 | Reward: 96.50 | Steps: 23 | Epsilon: 0.14 | Result: WIN | Time: 0.00007s
Episode 157 | Reward: 95.00 | Steps: 26 | Epsilon: 0.14 | Result: WIN | Time: 0.00009s
Episode 158 | Reward: 95.70 | Steps: 22 | Epsilon: 0.14 | Result: WIN | Time: 0.00007s
Episode 159 | Reward: 95.80 | Steps: 27 | Epsilon: 0.14 | Result: WIN | Time: 0.00009s
Episode 160 | Reward: 95.70 | Steps: 22 | Epsilon: 0.13 | Result: WIN | Time: 0.00007s
Episode 161 | Reward: 97.80 | Steps: 22 | Epsilon: 0.13 | Result: WIN | Time: 0.00007s
Episode 162 | Reward: 95.30 | Steps: 24 | Epsilon: 0.13 | Result: WIN | Time: 0.00008s
Episode 163 | Reward: 97.70 | Steps: 22 | Epsilon: 0.13 | Result: WIN | Time: 0.00007s
Episode 164 | Reward: 96.90 | Steps: 21 | Epsilon: 0.13 | Result: WIN | Time: 0.00007s
Episode 165 | Reward: 95.30 | Steps: 24 | Epsilon: 0.13 | Result: WIN | Time: 0.00008s
Episode 166 | Reward: 94.20 | Steps: 25 | Epsilon: 0.13 | Result: WIN | Time: 0.00008s
Episode 167 | Reward: 94.20 | Steps: 25 | Epsilon: 0.13 | Result: WIN | Time: 0.00008s
Episode 168 | Reward: 98.10 | Steps: 20 | Epsilon: 0.13 | Result: WIN | Time: 0.00006s
Episode 169 | Reward: 93.00 | Steps: 26 | Epsilon: 0.13 | Result: WIN | Time: 0.00008s
Episode 170 | Reward: 95.30 | Steps: 24 | Epsilon: 0.13 | Result: WIN | Time: 0.00008s
Episode 171 | Reward: 96.60 | Steps: 23 | Epsilon: 0.13 | Result: WIN | Time: 0.00007s
Episode 172 | Reward: 97.70 | Steps: 22 | Epsilon: 0.13 | Result: WIN | Time: 0.00007s
Episode 173 | Reward: 96.20 | Steps: 25 | Epsilon: 0.13 | Result: WIN | Time: 0.00008s
Episode 174 | Reward: 95.30 | Steps: 24 | Epsilon: 0.13 | Result: WIN | Time: 0.00008s
Episode 175 | Reward: 96.90 | Steps: 21 | Epsilon: 0.12 | Result: WIN | Time: 0.00007s
Episode 176 | Reward: 98.10 | Steps: 20 | Epsilon: 0.12 | Result: WIN | Time: 0.00006s
Episode 177 | Reward: 94.50 | Steps: 23 | Epsilon: 0.12 | Result: WIN | Time: 0.00007s
Episode 178 | Reward: 97.20 | Steps: 26 | Epsilon: 0.12 | Result: WIN | Time: 0.00008s
Episode 179 | Reward: 96.90 | Steps: 21 | Epsilon: 0.12 | Result: WIN | Time: 0.00007s
Episode 180 | Reward: 93.70 | Steps: 27 | Epsilon: 0.12 | Result: WIN | Time: 0.00009s
Episode 181 | Reward: 98.10 | Steps: 20 | Epsilon: 0.12 | Result: WIN | Time: 0.00010s
Episode 182 | Reward: 96.90 | Steps: 21 | Epsilon: 0.12 | Result: WIN | Time: 0.00007s
Episode 183 | Reward: 96.60 | Steps: 23 | Epsilon: 0.12 | Result: WIN | Time: 0.00008s
Episode 184 | Reward: 96.10 | Steps: 25 | Epsilon: 0.12 | Result: WIN | Time: 0.00008s
Episode 185 | Reward: 97.70 | Steps: 22 | Epsilon: 0.12 | Result: WIN | Time: 0.00007s
Episode 186 | Reward: 96.90 | Steps: 21 | Epsilon: 0.12 | Result: WIN | Time: 0.00007s
Episode 187 | Reward: 92.90 | Steps: 26 | Epsilon: 0.12 | Result: WIN | Time: 0.00008s
Episode 188 | Reward: 91.10 | Steps: 31 | Epsilon: 0.12 | Result: WIN | Time: 0.00010s
Episode 189 | Reward: 96.90 | Steps: 21 | Epsilon: 0.12 | Result: WIN | Time: 0.00007s
Episode 190 | Reward: 96.50 | Steps: 23 | Epsilon: 0.12 | Result: WIN | Time: 0.00007s
Episode 191 | Reward: 96.90 | Steps: 21 | Epsilon: 0.12 | Result: WIN | Time: 0.00007s
Episode 192 | Reward: 95.50 | Steps: 29 | Epsilon: 0.11 | Result: WIN | Time: 0.00009s
Episode 193 | Reward: 96.10 | Steps: 25 | Epsilon: 0.11 | Result: WIN | Time: 0.00008s
Episode 194 | Reward: 96.50 | Steps: 23 | Epsilon: 0.11 | Result: WIN | Time: 0.00007s
Episode 195 | Reward: 98.10 | Steps: 20 | Epsilon: 0.11 | Result: WIN | Time: 0.00006s
Episode 196 | Reward: 94.90 | Steps: 26 | Epsilon: 0.11 | Result: WIN | Time: 0.00008s
Episode 197 | Reward: 96.50 | Steps: 23 | Epsilon: 0.11 | Result: WIN | Time: 0.00007s
Episode 198 | Reward: 97.30 | Steps: 24 | Epsilon: 0.11 | Result: WIN | Time: 0.00008s
Episode 199 | Reward: 94.50 | Steps: 23 | Epsilon: 0.11 | Result: WIN | Time: 0.00007s
Episode 200 | Reward: 97.80 | Steps: 22 | Epsilon: 0.11 | Result: WIN | Time: 0.00007s
Episode 201 | Reward: 96.50 | Steps: 23 | Epsilon: 0.11 | Result: WIN | Time: 0.00007s
Episode 202 | Reward: 97.30 | Steps: 24 | Epsilon: 0.11 | Result: WIN | Time: 0.00008s
