Episode 209 | Reward: 99.20 | Steps: 9 | Epsilon: 0.07 | Result: WIN | Time: 0.00003s
Episode 210 | Reward: 99.20 | Steps: 9 | Epsilon: 0.07 | Result: WIN | Time: 0.00003s
Episode 211 | Reward: 99.20 | Steps: 9 | Epsilon: 0.07 | Result: WIN | Time: 0.00003s
Episode 212 | Reward: 98.00 | Steps: 10 | Epsilon: 0.07 | Result: WIN | Time: 0.00003s
Episode 213 | Reward: 96.00 | Steps: 15 | Epsilon: 0.07 | Result: WIN | Time: 0.00005s
Episode 214 | Reward: 98.00 | Steps: 10 | Epsilon: 0.07 | Result: WIN | Time: 0.00004s
Episode 215 | Reward: 99.20 | Steps: 9 | Epsilon: 0.07 | Result: WIN | Time: 0.00006s
Episode 216 | Reward: 99.20 | Steps: 9 | Epsilon: 0.07 | Result: WIN | Time: 0.00003s
Episode 217 | Reward: 98.80 | Steps: 11 | Epsilon: 0.07 | Result: WIN | Time: 0.00004s
Episode 218 | Reward: 99.20 | Steps: 9 | Epsilon: 0.07 | Result: WIN | Time: 0.00003s
Episode 219 | Reward: 99.20 | Steps: 9 | Epsilon: 0.07 | Result: WIN | Time: 0.00003s
Episode 220 | Reward: 99.20 | Steps: 9 | Epsilon: 0.07 | Result: WIN | Time: 0.00003s
Episode 221 | Reward: 98.00 | Steps: 10 | Epsilon: 0.07 | Result: WIN | Time: 0.00003s
Episode 222 | Reward: 99.20 | Steps: 9 | Epsilon: 0.07 | Result: WIN | Time: 0.00003s
Episode 223 | Reward: 98.90 | Steps: 11 | Epsilon: 0.07 | Result: WIN | Time: 0.00003s
Episode 224 | Reward: 99.20 | Steps: 9 | Epsilon: 0.07 | Result: WIN | Time: 0.00003s
Episode 225 | Reward: 97.60 | Steps: 12 | Epsilon: 0.06 | Result: WIN | Time: 0.00005s
Episode 226 | Reward: 99.20 | Steps: 9 | Epsilon: 0.06 | Result: WIN | Time: 0.00004s
Episode 227 | Reward: 99.20 | Steps: 9 | Epsilon: 0.06 | Result: WIN | Time: 0.00003s
Episode 228 | Reward: 99.20 | Steps: 9 | Epsilon: 0.06 | Result: WIN | Time: 0.00003s
Episode 229 | Reward: 99.20 | Steps: 9 | Epsilon: 0.06 | Result: WIN | Time: 0.00003s
Episode 230 | Reward: 99.20 | Steps: 9 | Epsilon: 0.06 | Result: WIN | Time: 0.00004s
Episode 231 | Reward: 99.20 | Steps: 9 | Epsilon: 0.06 | Result: WIN | Time: 0.00013s
Episode 232 | Reward: 99.20 | Steps: 9 | Epsilon: 0.06 | Result: WIN | Time: 0.00004s
Episode 233 | Reward: 99.20 | Steps: 9 | Epsilon: 0.06 | Result: WIN | Time: 0.00003s
Episode 234 | Reward: 99.20 | Steps: 9 | Epsilon: 0.06 | Result: WIN | Time: 0.00003s
Episode 235 | Reward: 99.20 | Steps: 9 | Epsilon: 0.06 | Result: WIN | Time: 0.00003s
Episode 236 | Reward: 99.20 | Steps: 9 | Epsilon: 0.06 | Result: WIN | Time: 0.00003s
Episode 237 | Reward: 95.60 | Steps: 12 | Epsilon: 0.06 | Result: WIN | Time: 0.00005s
Episode 238 | Reward: 99.20 | Steps: 9 | Epsilon: 0.06 | Result: WIN | Time: 0.00003s
Episode 239 | Reward: 99.20 | Steps: 9 | Epsilon: 0.06 | Result: WIN | Time: 0.00003s
Episode 240 | Reward: 98.00 | Steps: 10 | Epsilon: 0.06 | Result: WIN | Time: 0.00005s
Episode 241 | Reward: 99.20 | Steps: 9 | Epsilon: 0.06 | Result: WIN | Time: 0.00004s
Episode 242 | Reward: 98.90 | Steps: 11 | Epsilon: 0.06 | Result: WIN | Time: 0.00004s
Episode 243 | Reward: 97.30 | Steps: 16 | Epsilon: 0.06 | Result: WIN | Time: 0.00006s
Episode 244 | Reward: 98.00 | Steps: 10 | Epsilon: 0.06 | Result: WIN | Time: 0.00003s
Episode 245 | Reward: 99.20 | Steps: 9 | Epsilon: 0.06 | Result: WIN | Time: 0.00003s
Episode 246 | Reward: 98.80 | Steps: 13 | Epsilon: 0.06 | Result: WIN | Time: 0.00004s
Episode 247 | Reward: 98.00 | Steps: 10 | Epsilon: 0.06 | Result: WIN | Time: 0.00003s
Episode 248 | Reward: 99.20 | Steps: 9 | Epsilon: 0.06 | Result: WIN | Time: 0.00003s
Episode 249 | Reward: 99.20 | Steps: 9 | Epsilon: 0.06 | Result: WIN | Time: 0.00003s
Episode 250 | Reward: 99.20 | Steps: 9 | Epsilon: 0.06 | Result: WIN | Time: 0.00003s
Episode 251 | Reward: 99.20 | Steps: 9 | Epsilon: 0.06 | Result: WIN | Time: 0.00003s
Episode 252 | Reward: 98.80 | Steps: 11 | Epsilon: 0.06 | Result: WIN | Time: 0.00003s
Episode 253 | Reward: 98.00 | Steps: 10 | Epsilon: 0.06 | Result: WIN | Time: 0.00003s
Episode 254 | Reward: 98.40 | Steps: 13 | Epsilon: 0.06 | Result: WIN | Time: 0.00005s
Episode 255 | Reward: 99.20 | Steps: 9 | Epsilon: 0.06 | Result: WIN | Time: 0.00003s
Episode 256 | Reward: 99.20 | Steps: 9 | Epsilon: 0.06 | Result: WIN | Time: 0.00003s
Episode 257 | Reward: 98.80 | Steps: 11 | Epsilon: 0.06 | Result: WIN | Time: 0.00004s
Episode 258 | Reward: 99.20 | Steps: 9 | Epsilon: 0.05 | Result: WIN | Time: 0.00003s
