Episode 38 | Reward: -1456.10 | Steps: 2601 | Epsilon: 0.96 | Result: LOSE | Time: 0.0138s
Episode 39 | Reward: -1496.10 | Steps: 2601 | Epsilon: 0.96 | Result: LOSE | Time: 0.0137s
Episode 40 | Reward: -1505.10 | Steps: 2601 | Epsilon: 0.96 | Result: LOSE | Time: 0.0138s
Episode 41 | Reward: -1354.10 | Steps: 2601 | Epsilon: 0.96 | Result: LOSE | Time: 0.0140s
Episode 42 | Reward: -1439.10 | Steps: 2601 | Epsilon: 0.96 | Result: LOSE | Time: 0.0138s
Episode 43 | Reward: -1492.10 | Steps: 2601 | Epsilon: 0.96 | Result: LOSE | Time: 0.0138s
Episode 44 | Reward: -1417.10 | Steps: 2601 | Epsilon: 0.96 | Result: LOSE | Time: 0.0137s
Episode 45 | Reward: -1446.10 | Steps: 2601 | Epsilon: 0.96 | Result: LOSE | Time: 0.0138s
Episode 46 | Reward: -1436.10 | Steps: 2601 | Epsilon: 0.96 | Result: LOSE | Time: 0.0137s
Episode 47 | Reward: -1358.10 | Steps: 2601 | Epsilon: 0.95 | Result: LOSE | Time: 0.0138s
Episode 48 | Reward: -1460.10 | Steps: 2601 | Epsilon: 0.95 | Result: LOSE | Time: 0.0138s
Episode 49 | Reward: -1458.10 | Steps: 2601 | Epsilon: 0.95 | Result: LOSE | Time: 0.0136s
Episode 50 | Reward: -1488.10 | Steps: 2601 | Epsilon: 0.95 | Result: LOSE | Time: 0.0140s
Episode 51 | Reward: -1468.10 | Steps: 2601 | Epsilon: 0.95 | Result: LOSE | Time: 0.0142s
Episode 52 | Reward: -1422.10 | Steps: 2601 | Epsilon: 0.95 | Result: LOSE | Time: 0.0142s
Episode 53 | Reward: -1446.10 | Steps: 2601 | Epsilon: 0.95 | Result: LOSE | Time: 0.0142s
Episode 54 | Reward: -1404.10 | Steps: 2601 | Epsilon: 0.95 | Result: LOSE | Time: 0.0142s
Episode 55 | Reward: -1462.10 | Steps: 2601 | Epsilon: 0.95 | Result: LOSE | Time: 0.0142s
Episode 56 | Reward: -1401.10 | Steps: 2601 | Epsilon: 0.95 | Result: LOSE | Time: 0.0142s
Episode 57 | Reward: -1521.10 | Steps: 2601 | Epsilon: 0.94 | Result: LOSE | Time: 0.0142s
Episode 58 | Reward: -1427.10 | Steps: 2601 | Epsilon: 0.94 | Result: LOSE | Time: 0.0142s
Episode 59 | Reward: -1483.10 | Steps: 2601 | Epsilon: 0.94 | Result: LOSE | Time: 0.0142s
Episode 60 | Reward: -1415.10 | Steps: 2601 | Epsilon: 0.94 | Result: LOSE | Time: 0.0143s
Episode 61 | Reward: -1441.10 | Steps: 2601 | Epsilon: 0.94 | Result: LOSE | Time: 0.0142s
Episode 62 | Reward: -1384.10 | Steps: 2601 | Epsilon: 0.94 | Result: LOSE | Time: 0.0142s
Episode 63 | Reward: -1472.10 | Steps: 2601 | Epsilon: 0.94 | Result: LOSE | Time: 0.0145s
Episode 64 | Reward: -1474.10 | Steps: 2601 | Epsilon: 0.94 | Result: LOSE | Time: 0.0145s
Episode 65 | Reward: -1500.10 | Steps: 2601 | Epsilon: 0.94 | Result: LOSE | Time: 0.0143s
Episode 66 | Reward: -1432.10 | Steps: 2601 | Epsilon: 0.94 | Result: LOSE | Time: 0.0143s
Episode 67 | Reward: -1475.10 | Steps: 2601 | Epsilon: 0.94 | Result: LOSE | Time: 0.0143s
Episode 68 | Reward: -1443.10 | Steps: 2601 | Epsilon: 0.93 | Result: LOSE | Time: 0.0143s
Episode 69 | Reward: -1430.10 | Steps: 2601 | Epsilon: 0.93 | Result: LOSE | Time: 0.0142s
Episode 70 | Reward: -1431.10 | Steps: 2601 | Epsilon: 0.93 | Result: LOSE | Time: 0.0142s
Episode 71 | Reward: -1397.10 | Steps: 2601 | Epsilon: 0.93 | Result: LOSE | Time: 0.0144s
Episode 72 | Reward: -1468.10 | Steps: 2601 | Epsilon: 0.93 | Result: LOSE | Time: 0.0144s
Episode 73 | Reward: -1374.10 | Steps: 2601 | Epsilon: 0.93 | Result: LOSE | Time: 0.0144s
Episode 74 | Reward: -1508.10 | Steps: 2601 | Epsilon: 0.93 | Result: LOSE | Time: 0.0143s
Episode 75 | Reward: -1482.10 | Steps: 2601 | Epsilon: 0.93 | Result: LOSE | Time: 0.0144s
Episode 76 | Reward: -1478.10 | Steps: 2601 | Epsilon: 0.93 | Result: LOSE | Time: 0.0143s
Episode 77 | Reward: -1398.10 | Steps: 2601 | Epsilon: 0.93 | Result: LOSE | Time: 0.0144s
Episode 78 | Reward: -1487.10 | Steps: 2601 | Epsilon: 0.92 | Result: LOSE | Time: 0.0144s
Episode 79 | Reward: -1334.10 | Steps: 2601 | Epsilon: 0.92 | Result: LOSE | Time: 0.0143s
Episode 80 | Reward: -1405.10 | Steps: 2601 | Epsilon: 0.92 | Result: LOSE | Time: 0.0143s
Episode 81 | Reward: -1388.10 | Steps: 2601 | Epsilon: 0.92 | Result: LOSE | Time: 0.0144s
Episode 82 | Reward: -1446.10 | Steps: 2601 | Epsilon: 0.92 | Result: LOSE | Time: 0.0144s
Episode 83 | Reward: -1431.10 | Steps: 2601 | Epsilon: 0.92 | Result: LOSE | Time: 0.0142s
Episode 84 | Reward: -1436.10 | Steps: 2601 | Epsilon: 0.92 | Result: LOSE | Time: 0.0135s
Episode 85 | Reward: -1408.10 | Steps: 2601 | Epsilon: 0.92 | Result: LOSE | Time: 0.0137s
Episode 86 | Reward: -1453.10 | Steps: 2601 | Epsilon: 0.92 | Result: LOSE | Time: 0.0137s
Episode 87 | Reward: -1366.10 | Steps: 2601 | Epsilon: 0.92 | Result: LOSE | Time: 0.0143s
Episode 88 | Reward: -1396.10 | Steps: 2601 | Epsilon: 0.92 | Result: LOSE | Time: 0.0138s
Episode 89 | Reward: -1412.10 | Steps: 2601 | Epsilon: 0.91 | Result: LOSE | Time: 0.0137s
Episode 90 | Reward: -1402.10 | Steps: 2601 | Epsilon: 0.91 | Result: LOSE | Time: 0.0139s
Episode 91 | Reward: -1456.10 | Steps: 2601 | Epsilon: 0.91 | Result: LOSE | Time: 0.0141s
Episode 92 | Reward: -1368.10 | Steps: 2601 | Epsilon: 0.91 | Result: LOSE | Time: 0.0136s
Episode 93 | Reward: -1423.10 | Steps: 2601 | Epsilon: 0.91 | Result: LOSE | Time: 0.0136s
Episode 94 | Reward: -1447.10 | Steps: 2601 | Epsilon: 0.91 | Result: LOSE | Time: 0.0137s
Episode 95 | Reward: -1440.10 | Steps: 2601 | Epsilon: 0.91 | Result: LOSE | Time: 0.0136s
Episode 96 | Reward: -1381.10 | Steps: 2601 | Epsilon: 0.91 | Result: LOSE | Time: 0.0137s
Episode 97 | Reward: -1390.10 | Steps: 2601 | Epsilon: 0.91 | Result: LOSE | Time: 0.0137s
Episode 98 | Reward: -1431.10 | Steps: 2601 | Epsilon: 0.91 | Result: LOSE | Time: 0.0139s
Episode 99 | Reward: -1373.10 | Steps: 2601 | Epsilon: 0.91 | Result: LOSE | Time: 0.0147s
Episode 100 | Reward: -1414.10 | Steps: 2601 | Epsilon: 0.90 | Result: LOSE | Time: 0.0144s
Episode 101 | Reward: -1458.10 | Steps: 2601 | Epsilon: 0.90 | Result: LOSE | Time: 0.0142s
Episode 102 | Reward: -1323.10 | Steps: 2601 | Epsilon: 0.90 | Result: LOSE | Time: 0.0135s
Episode 103 | Reward: -1457.10 | Steps: 2601 | Epsilon: 0.90 | Result: LOSE | Time: 0.0138s
Episode 104 | Reward: -1408.10 | Steps: 2601 | Epsilon: 0.90 | Result: LOSE | Time: 0.0137s
Episode 105 | Reward: -1364.10 | Steps: 2601 | Epsilon: 0.90 | Result: LOSE | Time: 0.0137s
Episode 106 | Reward: -1371.10 | Steps: 2601 | Epsilon: 0.90 | Result: LOSE | Time: 0.0138s
Episode 107 | Reward: -1374.10 | Steps: 2601 | Epsilon: 0.90 | Result: LOSE | Time: 0.0139s
